,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
39300,비지에프리테일서울산업대제1학생회관점,,소매,종합소매점,편의점,서울특별시,노원구,공릉2동,공릉동,서울특별시 노원구 공릉동 172,127.07677110345199,37.6330692342399
39421,에스에이엔,,소매,종합소매점,편의점,서울특별시,강남구,청담동,청담동,서울특별시 강남구 청담동 132-19,127.05712268211701,37.5210490650752
39432,세븐일레븐,망우2호점,소매,종합소매점,편의점,서울특별시,중랑구,망우본동,망우동,서울특별시 중랑구 망우동 183,127.10762300686501,37.6026621562437
39455,씨유한강잠실2호,,소매,종합소매점,편의점,서울특별시,송파구,잠실2동,잠실동,서울특별시 송파구 잠실동 1-2,127.076490313636,37.5192017514451
39458,CU,자양태성점,소매,종합소매점,편의점,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 자양동 792,127.0711310727,37.5335675772962
39487,미니스톱마곡미르웰점,마곡미르웰점,소매,종합소매점,편의점,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡동 784,126.840203653007,37.5662331941505
39596,CU,서교중앙점,소매,종합소매점,편의점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 서교동 459-1,126.91533514940399,37.55578355304729
39684,sculp,,소매,종합소매점,편의점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 서교동 394-72,126.915616559773,37.5496410533719
39745,gs25시,,소매,종합소매점,편의점,서울특별시,성동구,행당1동,행당동,서울특별시 성동구 행당동 286-4,127.033889875417,37.5619851885237
39986,GS25,이수고가점,소매,종합소매점,편의점,서울특별시,서초구,방배본동,방배동,서울특별시 서초구 방배동 753-5,126.983656826717,37.496922298536504
40187,ACUVA,,소매,종합소매점,편의점,서울특별시,강남구,도곡2동,도곡동,서울특별시 강남구 도곡동 467-6,127.050661376693,37.488135801144296
40583,세븐일레븐월곡화랑로점,월곡화랑로점,소매,종합소매점,편의점,서울특별시,성북구,월곡2동,하월곡동,서울특별시 성북구 하월곡동 64-13,127.038867951331,37.6026718856658
40586,GS25강남율현,,소매,종합소매점,편의점,서울특별시,강남구,세곡동,율현동,서울특별시 강남구 율현동 108-9,127.11915937835899,37.4692844710476
40652,365플러스편의점,,소매,종합소매점,편의점,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 자양동 469,127.07227638110001,37.532450263982504
40762,CU,광진구의점,소매,종합소매점,편의점,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 구의동 252-35,127.084273711972,37.537679907517706
40764,GS25명일청솔,,소매,종합소매점,편의점,서울특별시,강동구,명일2동,명일동,서울특별시 강동구 명일동 48-15,127.15507139183201,37.551930775113505
40791,위드미,자양한강점,소매,종합소매점,편의점,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 자양동 584-13,127.074685328575,37.5307030989496
40802,GS25,신이문로점,소매,종합소매점,편의점,서울특별시,동대문구,이문2동,이문동,서울특별시 동대문구 이문동 220-111,127.06623431640301,37.603188926635205
40890,네오할인마트,,소매,종합소매점,편의점,서울특별시,서초구,서초1동,서초동,서울특별시 서초구 서초동 1659-21,127.01621675022899,37.492530476323
40938,CU,홍대공원점,소매,종합소매점,편의점,서울특별시,마포구,서교동,동교동,서울특별시 마포구 동교동 164-2,126.92475499227899,37.5563382573945
