시군구명,매장수
강남구,360
강동구,170
강북구,146
강서구,222
관악구,255
광진구,290
구로구,216
금천구,184
노원구,220
도봉구,159
동대문구,283
동작구,144
마포구,145
서대문구,153
서초구,177
성동구,152
성북구,240
송파구,192
양천구,159
영등포구,241
용산구,166
은평구,221
종로구,111
중구,116
중랑구,245
