,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
5133,MARKET999,목동점,소매,종합소매점,수퍼마켓,서울특별시,양천구,신정4동,신정동,서울특별시 양천구 신정동 899-7,126.863712457563,37.528320981918895
6377,보성그린마트,,소매,종합소매점,수퍼마켓,서울특별시,강북구,수유2동,수유동,서울특별시 강북구 수유동 270-185,127.019997544159,37.6460277159035
6402,현대마트,,소매,종합소매점,수퍼마켓,서울특별시,동대문구,이문2동,이문동,서울특별시 동대문구 이문동 54,127.069746597231,37.60125239119839
6418,형제슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 중곡동 175-35,127.081781898925,37.569242380355504
6439,동아마트,,소매,종합소매점,수퍼마켓,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 중곡동 48-14,127.081664318049,37.559456074547896
6517,약수수퍼,,소매,종합소매점,수퍼마켓,서울특별시,도봉구,방학2동,방학동,서울특별시 도봉구 방학동 608,127.029762889547,37.6688684896716
6724,부강슈퍼마전,,소매,종합소매점,수퍼마켓,서울특별시,강북구,인수동,수유동,서울특별시 강북구 수유동 313-3,127.014998151186,37.644472344964
6875,온누리슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,구로구,오류2동,오류동,서울특별시 구로구 오류동 187-5,126.83784056498999,37.48876588471111
6888,길슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,영등포구,여의동,여의도동,서울특별시 영등포구 여의도동 42,126.932463671705,37.52213256913971
6925,은혜슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,양천구,신정4동,신정동,서울특별시 양천구 신정동 939-18,126.850404912024,37.5262819888858
6941,신성마트,,소매,종합소매점,수퍼마켓,서울특별시,영등포구,대림3동,대림동,서울특별시 영등포구 대림동 743-4,126.899672466264,37.4987018185303
7028,한영슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,관악구,난곡동,신림동,서울특별시 관악구 신림동 610-576,126.92340318139401,37.4755833087303
7171,영진하이퍼마켓,,소매,종합소매점,수퍼마켓,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡동 326-9,126.822581566407,37.5725641798311
7210,왕마트,,소매,종합소매점,수퍼마켓,서울특별시,구로구,고척1동,고척동,서울특별시 구로구 고척동 145-100,126.855900071096,37.5012954570933
7348,K-SUPER,,소매,종합소매점,수퍼마켓,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 구의동 26-20,127.09357799722,37.553312868172895
7526,화남슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,마포구,신수동,구수동,서울특별시 마포구 구수동 59-1,126.93257293443199,37.5462184323029
8077,서서울농협하나로마트,신사점,소매,종합소매점,수퍼마켓,서울특별시,은평구,신사1동,신사동,서울특별시 은평구 신사동 7-10,126.910490322274,37.6008987990421
8224,한강슈퍼마트,,소매,종합소매점,수퍼마켓,서울특별시,영등포구,영등포동,영등포동2가,서울특별시 영등포구 영등포동2가 94-24,126.90997498281,37.522828193707106
8358,약수식품,,소매,종합소매점,수퍼마켓,서울특별시,중구,다산동,신당동,서울특별시 중구 신당동 432-716,127.007311564309,37.5501502321143
8526,이레마트,,소매,종합소매점,수퍼마켓,서울특별시,영등포구,신길7동,신길동,서울특별시 영등포구 신길동 1052,126.922046106072,37.5062966880267
8633,현대슈퍼마켓,,소매,종합소매점,수퍼마켓,서울특별시,강동구,천호3동,천호동,서울특별시 강동구 천호동 199-1,127.13307329600799,37.5418867393238
8744,홈플러스익스프레스,암사점,소매,종합소매점,수퍼마켓,서울특별시,강동구,암사1동,암사동,서울특별시 강동구 암사동 473-3,127.135057138955,37.5523535238072
8784,홈플러스익스프레스서울논현역점,서울논현역점,소매,종합소매점,수퍼마켓,서울특별시,서초구,반포1동,반포동,서울특별시 서초구 반포동 705,127.019535386215,37.5102908104763
8830,한진마트,,소매,종합소매점,수퍼마켓,서울특별시,성북구,삼선동,돈암동,서울특별시 성북구 돈암동 609-1,127.012690860711,37.5944635800327
8890,우리홈마트,,소매,종합소매점,수퍼마켓,서울특별시,구로구,구로5동,구로동,서울특별시 구로구 구로동 40-5,126.89096874316799,37.503756378284294
9062,롯데슈퍼원효로점내회코너,,소매,종합소매점,수퍼마켓,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 원효로1가 133-3,126.967960705689,37.53792806619779
9118,롯데슈퍼등촌점,등촌점,소매,종합소매점,수퍼마켓,서울특별시,강서구,등촌3동,등촌동,서울특별시 강서구 등촌동 662-3,126.84781710533599,37.5584417374009
9193,보뚜슈퍼푸드카페,홍대1호점,소매,종합소매점,수퍼마켓,서울특별시,마포구,서교동,서교동,서울특별시 마포구 서교동 486,126.923740133733,37.5537159971347
9276,맷앤폴,,소매,종합소매점,수퍼마켓,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼동 641-20,127.035972362216,37.5022265098643
9337,로이언스,,소매,종합소매점,수퍼마켓,서울특별시,서초구,서초2동,서초동,서울특별시 서초구 서초동 1330-16,127.028459434094,37.4937400915713
9477,싱싱마트,,소매,종합소매점,수퍼마켓,서울특별시,관악구,중앙동,봉천동,서울특별시 관악구 봉천동 886-16,126.94809726925199,37.483491712184204
9627,진로마트,,소매,종합소매점,수퍼마켓,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 중곡동 579-1,127.08102557405898,37.570912444629705
9696,GS수퍼마켓,목동오거리점,소매,종합소매점,수퍼마켓,서울특별시,양천구,신정4동,신정동,서울특별시 양천구 신정동 988-5,126.861119762837,37.5254667465306
9761,우성할인마트,,소매,종합소매점,수퍼마켓,서울특별시,성북구,정릉1동,정릉동,서울특별시 성북구 정릉동 1020,127.014453025656,37.6008036042171
9913,사랑마트,,소매,종합소매점,수퍼마켓,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 자양동 641,127.079480522316,37.5290285706041
9914,뉴타운마트,,소매,종합소매점,수퍼마켓,서울특별시,성북구,길음1동,길음동,서울특별시 성북구 길음동 1280-1,127.016200034585,37.6100358023957
10021,오성인터내셔날,,소매,종합소매점,수퍼마켓,서울특별시,종로구,평창동,구기동,서울특별시 종로구 구기동 110-1,126.956559609636,37.608180990149606
10062,경신슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,중랑구,중화2동,중화동,서울특별시 중랑구 중화동 331-2,127.075535540662,37.602928766143606
10112,현대슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,중랑구,묵1동,묵동,서울특별시 중랑구 묵동 20,127.090104814928,37.6173865890558
10184,고려할인마트,,소매,종합소매점,수퍼마켓,서울특별시,금천구,시흥4동,시흥동,서울특별시 금천구 시흥동 817-29,126.907510765982,37.4559206637157
10197,한아름슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,관악구,삼성동,신림동,서울특별시 관악구 신림동 808-497,126.93171660726001,37.469765887681106
10258,쌍문공판장,,소매,종합소매점,수퍼마켓,서울특별시,강북구,수유3동,수유동,서울특별시 강북구 수유동 169-35,127.02772175557199,37.6428569195708
10511,자연마트,,소매,종합소매점,수퍼마켓,서울특별시,성동구,왕십리도선동,도선동,서울특별시 성동구 도선동 343-8,127.03101714841999,37.564430510943204
11017,양지슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남동 557-4,127.006502222661,37.5301221514057
11053,슈퍼라이트케이스,,소매,종합소매점,수퍼마켓,서울특별시,성북구,성북동,성북동1가,서울특별시 성북구 성북동1가 110-9,127.00340077170601,37.589709106407
11308,수퍼쿨러파트너스,,소매,종합소매점,수퍼마켓,서울특별시,강남구,대치2동,대치동,서울특별시 강남구 대치동 999,127.066287855613,37.5081917333628
11382,수퍼에이트레이드,,소매,종합소매점,수퍼마켓,서울특별시,노원구,월계3동,월계동,서울특별시 노원구 월계동 13,127.064764059105,37.62382913158329
