,영화관명,소재지주소,도로명주소,위도,경도
53,메가박스 강남,서울특별시 서초구 서초동 1317-20번지,서울특별시 서초구 서초대로77길 3 (서초동),37.498036,127.026497
54,메가박스 군자,서울특별시 광진구 군자동 477-12번지,서울특별시 광진구 능동로 289 (군자동),37.5520814,127.075226499999
55,메가박스 동대문,서울특별시 중구 을지로6가 18-21번지 굿모닝시티,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",37.5668311,127.0075414
56,메가박스 마곡,서울특별시 강서구 마곡동 797-1번지 퀸즈파크나인,"서울특별시 강서구 공항대로 247 (마곡동, 퀸즈파크나인)",37.5645015,126.8352233
57,메가박스 목동,서울특별시 양천구 목동 917-6번지 행복한세상백화점 7층,"서울특별시 양천구 목동동로 309 (목동,행복한세상백화점 7층)",37.5291473,126.876098599999
58,메가박스 상봉,서울특별시 중랑구 상봉동 130-3번지 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),37.5930326,127.074735799999
59,메가박스 센트럴,서울특별시 서초구 반포동 19-3번지 센트럴시티 지하1층,"서울특별시 서초구 신반포로 176 (반포동,센트럴시티 지하1층)",37.5049563,127.002826499999
60,메가박스 송파파크하비오점,서울특별시 송파구 문정동 618번지 203동 비161호,"서울특별시 송파구 송파대로 111, 203동 비161호 (문정동, 파크하비오)",37.482085,127.123577999999
61,메가박스 씨티(강남대로),서울특별시 강남구 역삼동 816번지,서울특별시 강남구 강남대로 422 (역삼동),37.5003556,127.026969
62,메가박스 은평,"서울특별시 은평구 불광동 304-2번지 파레제페빌딩 , 8층","서울특별시 은평구 통일로 830, 8층 (불광동)",37.6210456,126.9247304
63,메가박스 이수,서울특별시 동작구 사당동 147-53번지 골든씨네마 7층,"서울특별시 동작구 동작대로 89 (사당동,골든씨네마 7층)",37.484694,126.981763499999
64,메가박스 창동,서울특별시 도봉구 창동 715-41번지,,37.6545747,127.038754499999
65,메가박스 코엑스,서울특별시 강남구 삼성동 159번지,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",37.5130556,127.0586111
66,메가박스 화곡,서울특별시 강서구 화곡동 1073-10번지 메가박스(주)화곡지점,"서울특별시 강서구 화곡로 142, 401,501호 (화곡동, 메가박스(주)화곡지점)",37.5405337,126.8375885
67,잠실자동차극장,서울특별시 송파구 잠실동 1168-1번지,,37.5168502,127.0688923
